Name,Content_Warning,Related_Mange,staff
your name.,,"your name., your name. (Light Novel), your name. Another Side: Earthbound (Light Novel), your name. Another Side: Earthbound","Makoto Shinkai : Director & Editor & Original Creator & Screenplay & Storyboard, Radwimps : Music & Song Arrangement & Song Performance, Masashi Andou : Animation Director & Character Design, Masayoshi Tanaka : Animation Director & Character Design & Key Animator, Hitomi Fukuzawa : Photography Director, Akiko Majima : Art Director, Takumi Tanji : Art Director, Tasuku Watanabe : Art Director"
Haikyuu!! Second Season,,"Haikyuu!! (Pilot), Haikyuu!!, Haikyuu-bu!!","Haruichi Furudate : Original Creator, Susumu Mitsunaka : Director, Yuuki Hayashi : Music, Asami Tachibana : Music, Takahiro Kishida : Character Design, Tomoyuki Saitou : Producer, Toshihiro Maeda : Producer, Kozue Kaneniwa : Producer"
Demon Slayer: Kimetsu no Yaiba,Violence,"Gotouge Koyoharu Tanpenshuu, Demon Slayer: Kimetsu no Yaiba, Demon Slayer: Kimetsu no Yaiba - Shiawase no Hana (Light Novel), Kimetsu no Yaiba: Tomioka Giyuu Gaiden, Kimetsu no Yaiba Koushiki Spin-off: Kimetsu no Aima!, Demon Slayer: Kimetsu no Yaiba - Katahane no Chou (Light Novel), Demon Slayer: Kimetsu no Yaiba - Kaze no Michishirube (Light Novel)","Koyoharu Gotouge : Original Creator, Haruo Sotozaki : Director, Ufotable : Series Composition, Gou Shiina : Music, Yuki Kajiura : Music & Song Arrangement & Song Composition & Song Lyrics, Akira Matsushima : Character Design, Masanori Miyake : Producer, Yuuma Takahashi : Producer"
Hunter x Hunter (2011),Violence,"Hunter x Hunter, Hunter x Hunter: Kurapika Tsuioku-hen","Yoshihiro Togashi : Original Creator, Hiroshi Koujina : Director, Yoshihisa Hirano : Music, Takahiro Yoshimatsu : Character Design, Manabu Tamura : Producer, Toshio Nakatani : Producer, Naoki Iwasa : Producer, Hiroyuki Kiyouno : Producer"
A Silent Voice,"Bullying,, Mature Themes,, Suicide","A Silent Voice (Pilot), A Silent Voice, A Silent Voice Special Book","Yoshitoki Ooima : Original Creator, Naoko Yamada : Director & Storyboard, Kensuke Ushio : Music, Futoshi Nishiya : Animation Director & Character Design & Chief Animation Director, Kazuya Takao : Photography Director, Mutsuo Shinohara : Art Director, Naomi Ishida : Color Design, Youta Tsuruoka : Sound Director"
Violet Evergarden Movie,Violence,"Violet Evergarden (Light Novel), Violet Evergarden Gaiden (Light Novel), Violet Evergarden: Ever After (Light Novel)","Kana Akatsuki : Original Creator, Taichi Ishidate : Director & Episode Director & Storyboard, Evan Call : Music, Akiko Takase : Animation Director & Character Design & Chief Animation Director, Kouhei Funamoto : Photography Director, Mikiko Watanabe : Art Director, Yuka Yoneda : Color Design, Youta Tsuruoka : Sound Director"
Haikyuu!! To the Top: Part II,,Haikyuu!!,"Haruichi Furudate : Original Creator, Masako Satou : Director, Yuuki Hayashi : Music, Asami Tachibana : Music, Takahiro Kishida : Character Design, Toshihiro Maeda : Producer, Wakana Okamura : Producer, Fumi Morihiro : Producer"
Heaven Official's Blessing Special,,"Heaven Official's Blessing (Novel), Heaven Official's Blessing",Mo Xiang Tong Xiu : Original Creator
That Time I Got Reincarnated as a Slime Season 2,,"That Time I Got Reincarnated as a Slime (Light Novel), That Time I Got Reincarnated as a Slime, That Time I Got Reincarnated as a Slime: The Ways of the Monster Nation, The Slime Diaries: That Time I Got Reincarnated as a Slime, That Time I Got Reincarnated (Again!) as a Workaholic Slime, Tenchura! Tensei Shitara Slime Datta Ken, That Time I Got Reincarnated as a Slime: Trinity in Tempest","Fuse : Original Creator, Mitz Vah : Original Character Design, Atsushi Nakayama : Director, Elements Garden : Music, Ryouma Ebata : Character Design"
Given,"Mature Themes,, Suicide",Given,"Natsuki Kizu : Original Creator, Hikaru Yamaguchi : Director, Michiru : Music, Mina Osawa : Character Design, Kouhei Honda : Art Director"
Code Geass: Lelouch of the Rebellion R2,,"Code Geass: Lelouch of the Rebellion, Code Geass: Suzaku of the Counterattack, Code Geass: Nightmare of Nunnally, Code Geass: Lelouch of the Rebellion - Knight: Official Comic Anthology - For Girls, Code Geass: Lelouch of the Rebellion - Queen: Official Comic Anthology - For Boys, Code Geass: Lelouch of the Rebellion (Light Novel), Code Geass: Lelouch of the Rebellion - Ake no Kiseki (Light Novel), Code Geass: Tales of an Alternate Shogunate, Code Geass: Lelouch of the Rebellion R2 (Light Novel), Code Geass: Lelouch of the Rebellion R2 - Knights of the Round (Light Novel), Code Geass: Shikkoku no Renya, Barcode Geass: Hanbai no Lelouch, Code Geass: Soubou no Oz, Code Geass: Boukoku no Akito (Light Novel), Kateikyoushi no Lelouch-san","Gorou Taniguchi : Director & Original Creator & Storyboard, Clamp : Original Character Design, Kotaro Nakagawa : Music, Hitomi Kuroishi : Music, Takahiro Kimura : Character Design, Takao Minegishi : Producer, Hirofumi Morotomi : Producer, Jun Yukawa : Producer"
Mo Dao Zu Shi 2,Violence,"Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel), The Master of Diabolism","Mo Xiang Tong Xiu : Original Creator, Xiong Ke : Chief Director, Ma Chendi : Chief Director, Sun Yujing : Music, Weng Teng : Music, Feng Shuo : Music, Shen Lin : Character Design & Chief Animation Director, Liang Sha : Screenplay"
Gintama: The Very Final,Violence,"Gintama, 3-Z Class's Ginpachi-sensei (Light Novel), Gintama Kanketsu-hen: Yorozuya yo Eien Nare (Light Novel)","Hideaki Sorachi : Original Creator, Chizuru Miyawaki : Director, Audio Highs : Music, Shinji Takeuchi : Character Design, Kazumasa Sanjouba : Producer, Takashi Maekawa : Producer, Akane Shiraishi : Editor"
Link Click,Violence,,Li Haoling : Director
Mob Psycho 100 II,Violence,"Mob Psycho 100, Mob Psycho 100: Reigen","One : Original Creator, Yuzuru Tachikawa : Director, Hiroshi Seko : Series Composition, Kenji Kawai : Music, Yoshimichi Kameda : Character Design, Masahiko Minami : Producer, Akio Matsuda : Producer, Shinji Oomori : Producer"
Haikyuu!! To the Top,,"Haikyuu!!, Haikyuu-bu!!","Haruichi Furudate : Original Creator, Masako Satou : Director, Yuuki Hayashi : Music, Asami Tachibana : Music, Takahiro Kishida : Character Design, Toshihiro Maeda : Producer, Wakana Okamura : Producer, Fumi Morihiro : Producer"
Fruits Basket 2nd Season,"Bullying,, Emotional Abuse,, Mature Themes,, Physical Abuse,, Domestic Abuse","Fruits Basket, Fruits Basket Another, Fruits Basket: The Three Musketeers Arc","Natsuki Takaya : Original Creator, Yoshihide Ibata : Director & Episode Director & Storyboard, Taku Kishimoto : Screenplay & Series Composition, Masaru Yokoyama : Music, Masaru Shindou : Character Design, Baek-Ryun Chae : Photography Director, Nozomi Shitara : Photography Director, Mika Sugawara : Color Design"
The Promised Neverland,"Mature Themes,, Domestic Abuse,, Self-Harm","The Promised Neverland, The Promised Neverland: Norman Kara no Tegami (Light Novel), The Promised Neverland: Mama-tachi no Tsuisoukyoku (Light Novel), Oyakusoku no Neverland, The Promised Neverland: Senyuu-tachi no Record (Light Novel), The Promised Neverland: Special Pilot Chapter - We Were Born","Kaiu Shirai : Original Creator, Mamoru Kanbe : Director, Takahiro Obata : Music, Kazuaki Shimada : Character Design, Tomoyuki Shiokawa : Photography Director, Shigemi Ikeda : Art Director, Kazuko Nakashima : Color Design, Kenta Suzuki : Producer"
Spirited Away,,Spirited Away,"Hayao Miyazaki : Director & Original Creator & Screenplay, Masayuki Miyaji : Assistant Director, Atsushi Takahashi : Assistant Director, Joe Hisaishi : Music & Song Arrangement & Song Composition & Song Lyrics, Youji Takeshige : Art Director, Michiyo Yasuda : Color Design, Mitsunori Kataama : Cg Director, Toshio Suzuki : Producer"
That Time I Got Reincarnated as a Slime Season 2: Part II,Physical Abuse,"That Time I Got Reincarnated as a Slime (Light Novel), That Time I Got Reincarnated as a Slime, That Time I Got Reincarnated as a Slime: The Ways of the Monster Nation, The Slime Diaries: That Time I Got Reincarnated as a Slime, That Time I Got Reincarnated (Again!) as a Workaholic Slime, Tenchura! Tensei Shitara Slime Datta Ken, That Time I Got Reincarnated as a Slime: Trinity in Tempest","Fuse : Original Creator, Mitz Vah : Original Character Design"
Heaven Official's Blessing,"Bullying,, Violence","Heaven Official's Blessing (Novel), Heaven Official's Blessing","Mo Xiang Tong Xiu : Original Creator, Li Haoling : Director, Black And White Pepper : Assistant Director"
Ranking of Kings,Violence,Ousama Ranking,"Sousuke Toka : Original Creator, Makoto Fuchigami : Chief Director, Yousuke Hatta : Director, Arifumi Imai : Assistant Director, Taku Kishimoto : Series Composition, Mayuko : Music, Atsuko Nozaki : Character Design & Chief Animation Director, Noriyuki Ueda : Photography Director"
Mushoku Tensei: Jobless Reincarnation - Part II,"Mature Themes,, Violence","Mushoku Tensei: Jobless Reincarnation (Light Novel), Mushoku Tensei: Jobless Reincarnation, Mushoku Tensei: Roxy Gets Serious, Mushoku Tensei: 4-Koma ni Nattemo Honki Dasu, Mushoku Tensei: Jobless Reincarnation - Depressed Magician","Manabu Okamoto : Director & Series Composition, Yoshiaki Fujisawa : Music, Kazutaka Sugiyama : Character Design, Shouji Oosuga : Producer, Ryou Imamura : 2Nd Key Animator & Animation Director, You Kiyuna : Key Animator, Kazumaru Andou : Background Artist"
Gintama.: Shirogane no Tamashii-hen 2,,Gintama,"Hideaki Sorachi : Original Creator, Chizuru Miyawaki : Director, Shinji Takeuchi : Character Design, Susumu Matsuyama : Producer, Hiromitsu Higuchi : Producer"
Clannad After Story,"Drug Use,, Mature Themes","Clannad: 4-Koma Manga Gekijou, Clannad, Tomoyo After: Dear Shining Memories, Clannad: Tomoyo Dearest","Tatsuya Ishihara : Director, Magome Togoshi : Music, Shinji Orito : Music, Jun Maeda : Music & Song Composition & Song Lyrics, Kazumi Ikeda : Character Design, Yoshihisa Nakayama : Producer, Shinichi Nakamura : Producer, Naohiro Futono : Producer"
Mo Dao Zu Shi,Violence,"Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel), The Master of Diabolism","Mo Xiang Tong Xiu : Original Creator, Xiong Ke : Chief Director, Ma Chendi : Chief Director, Sun Yujing : Music, Weng Teng : Music, Feng Shuo : Music, Shen Lin : Character Design & Chief Animation Director, Liang Sha : Screenplay"
Gintama': Enchousen,,"Gintama, 3-Z Class's Ginpachi-sensei (Light Novel), Gintama Kanketsu-hen: Yorozuya yo Eien Nare (Light Novel)","Hideaki Sorachi : Original Creator, Youichi Fujita : Director, Audio Highs : Music, Shinji Takeuchi : Character Design, Shinnosuke Wada : Producer, Hiromitsu Higuchi : Producer, Hayato Saga : Producer, Eiji Fukuyama : Key Animator"
Banana Fish,"Drug Use,, Mature Themes,, Physical Abuse,, Prostitution,, Sexual Abuse,, Violence","Banana Fish: Another Story, Banana Fish, Yasha","Akimi Yoshida : Original Creator, Hiroko Utsumi : Director & Episode Director & Storyboard, Hiroshi Seko : Screenplay & Series Composition, Shinichi Osawa : Music, Akemi Hayashi : Animation Director & Character Design & Chief Animation Director & Op Director, Yuusuke Tannawa : Editor & Photography Director, Toshiharu Mizutani : Art Director, Chikako Kamata : Color Design"
Douluo Dalu 2,,"Douluo Dalu (Novel), Douluo Dalu, Douluo Dalu 4: Zhongji Douluo","Hong Yu Tang : Director, Le Ping Shen : Director, Jing Li : Character Design, Wang Zhou : Producer"
Gintama Kanketsu-hen: Yorozuya yo Eien Nare,,"Gintama, 3-Z Class's Ginpachi-sensei (Light Novel), Gintama Kanketsu-hen: Yorozuya yo Eien Nare (Light Novel)","Hideaki Sorachi : Original Character Design & Original Creator, Youichi Fujita : Director & Episode Director & Storyboard, Audio Highs : Music, Shinji Takeuchi : Animation Director & Character Design & Chief Animation Director, Suguru Oidaira : Photography Director, Ritsuko Utagawa : Art Director, Yuuki Nomura : Art Director, Katsuyoshi Kobayashi : Sound Director"
Gintama.,,"Gintama, 3-Z Class's Ginpachi-sensei (Light Novel), Gintama Kanketsu-hen: Yorozuya yo Eien Nare (Light Novel)","Hideaki Sorachi : Original Creator, Chizuru Miyawaki : Director, Audio Highs : Music, Shinji Takeuchi : Character Design, Susumu Matsuyama : Producer, Hiromitsu Higuchi : Producer"
Gintama.: Shirogane no Tamashii-hen,,Gintama,"Hideaki Sorachi : Original Creator, Chizuru Miyawaki : Director, Shinji Takeuchi : Character Design, Susumu Matsuyama : Producer, Hiromitsu Higuchi : Producer"
Attack on Titan 3rd Season,"Cannibalism,, Explicit Violence","Attack on Titan Volume 0, Attack on Titan, Attack on Titan: Before the Fall (Light Novel), Attack on Titan: Junior High, Attack on Titan: No Regrets - Prologue, Attack on Titan: Before the Fall, Attack on Titan: No Regrets, Spoof on Titan, Attack on Titan: The Harsh Mistress of the City (Light Novel), Attack on Titan: Lost Girls (Light Novel), Attack on Titan: Lost Girls, Attack on Titan: End of the World (Light Novel)","Hajime Isayama : Original Creator, Tetsurou Araki : Chief Director, Masashi Koizuka : Director, Yasuko Kobayashi : Series Composition, Hiroyuki Sawano : Music, Kyouji Asano : Character Design, Kazuhiro Yamada : Photography Director, George Wada : Producer"
Steins;Gate,"Mature Themes,, Suicide","Steins;Gate, Steins;Gate: Boukan no Rebellion, Steins;Gate: Onshuu no Brownian Motion, Magi-Cu 4-koma: Steins;Gate - Sekaisen Hendouritsu x. 091015%, Steins;Gate: Youen no Valhalla (Light Novel), Steins;Gate: Comic Anthology, Steins;Gate: Enkan Rensa no Ouroboros (Light Novel), Steins;Gate: Hiyoku Renri no Sweets Honey, Steins;Gate: Shijou Saikyou no Slight Fever, Steins;Gate!, Steins;Gate: Comic Anthology: Time Traveler's Tale, Steins;Gate: Chouyoku no Divergence - Reverse (Light Novel), Steins;Gate: Hoshikuzu no Duplet, Robotics;Notes, Steins;Gate: Aishin Meizu no Babel, Steins;Gate: Heni Kuukan no Octet, Steins;Gate: Hiyoku Renri no Future Honey, Steins;Gate: Heiji Kyokusen no Epigraph (Novel), Steins;Gate: Heiji Kyokusen no Epigraph, Steins;Gate Movie: Load Region of Deja Vu, Steins;Gate: Eigoukaiki no Pandora, Steins;Gate 0 Dengeki Comic Anthology, Steins;Gate 0","Hiroshi Hamasaki : Director, Takuya Satou : Director, Jun Murakami : Music, Takeshi Abo : Music, Kyuuta Sakai : Character Design, Keisuke Nakamura : Photography Director, Shinsaku Tanaka : Producer, Gaku Iwasa : Producer"
Haikyuu!!,,"Haikyuu!! (Pilot), Haikyuu!!, Let's! Haikyuu!?, Haikyuu-bu!!, Haikyuu!! Shousetsuban!! Karasuno Koukou (Light Novel)","Haruichi Furudate : Original Creator, Susumu Mitsunaka : Director, Yuuki Hayashi : Music, Asami Tachibana : Music, Takahiro Kishida : Character Design, Tomoyuki Saitou : Producer, Toshihiro Maeda : Producer, Kozue Kaneniwa : Producer"
Gintama',,"Gintama, 3-Z Class's Ginpachi-sensei (Light Novel), Gintama Kanketsu-hen: Yorozuya yo Eien Nare (Light Novel)","Hideaki Sorachi : Original Creator, Youichi Fujita : Director, Audio Highs : Music, Shinji Takeuchi : Character Design, Fukashi Azuma : Producer, Naoki Sasada : Producer, Shinjirou Yokoyama : Producer, Shinnosuke Wada : Producer"
One-Punch Man,Explicit Violence,"One-Punch Man (Webcomic), One-Punch Man","Yuusuke Murata : Original Creator, One : Original Creator, Shingo Natsume : Director, Makoto Miyazaki : Music, Chikashi Kubota : Character Design, Shigemi Ikeda : Art Director, Yukiko Maruyama : Art Director, Ayuri Taguchi : Producer"
Demon Slayer: Kimetsu no Yaiba - Mugen Train,"Mature Themes,, Suicide,, Violence",Demon Slayer: Kimetsu no Yaiba,
Gintama°,,"Gintama, 3-Z Class's Ginpachi-sensei (Light Novel), Gintama Kanketsu-hen: Yorozuya yo Eien Nare (Light Novel)","Hideaki Sorachi : Original Creator, Chizuru Miyawaki : Director, Audio Highs : Music, Shinji Takeuchi : Character Design, Tomoyuki Saitou : Producer, Susumu Matsuyama : Producer, Susumu Miura : Producer, Masaki Hinata : Animation Director"
Howl's Moving Castle,,Howl's Moving Castle,"Diana Wynne Jones : Original Creator, Hayao Miyazaki : Director & Screenplay, Joe Hisaishi : Music & Song Arrangement, Akihiko Yamashita : Animation Director & Character Design, Atsushi Okui : Photography Director, Youji Takeshige : Art Director, Noboru Yoshida : Art Director, Michiyo Yasuda : Color Design"
Natsume's Book of Friends Season 6,,"Natsume's Book of Friends, Natsume's Book of Friends (Light Novel), Nyanko-sensei ga Iku!","Yuki Midorikawa : Original Creator, Takahiro Oomori : Chief Director, Kotomi Deai : Director, Makoto Yoshimori : Music, Akira Takada : Character Design, Sayako Muramatsu : Producer, Shuko Yokoyama : Producer, Fumi Yazaki : Producer"
JoJo's Bizarre Adventure: Golden Wind,"Animal Abuse,, Mature Themes","JoJo's Bizarre Adventure Part 1: Phantom Blood, JoJo's Bizarre Adventure Part 2: Battle Tendency, JoJo's Bizarre Adventure Part 3: Stardust Crusaders, JoJo's Bizarre Adventure Part 4: Diamond is Unbreakable, JoJo's Bizarre Adventure Part 5: Golden Wind, Kishibe Rohan wa Ugokanai, JoJo's Bizarre Adventure Part 6: Stone Ocean, JoJo's Bizarre Adventure Part 7: Steel Ball Run, The Book: JoJo's Bizarre Adventure 4th Another Day (Light Novel), Rohan at the Louvre, JoJo's Bizarre Adventure Part 8: Jojolion, Purple Haze Feedback: From JoJo's Bizarre Adventure (Light Novel), Jorge Joestar (Light Novel), JoJo's Bizarre Adventure: Crazy Diamond's Demonic Heartbreak","Hirohiko Araki : Original Creator, Naokatsu Tsuda : Chief Director, Hideya Takahashi : Director, Yasuhiro Kimura : Director, Yasuko Kobayashi : Series Composition, Yuugo Kanno : Music, Takahiro Kishida : Character Design, Kazuhiro Yamada : Photography Director"
JoJo's Bizarre Adventure: Stone Ocean,,"JoJo's Bizarre Adventure Part 1: Phantom Blood, JoJo's Bizarre Adventure Part 2: Battle Tendency, JoJo's Bizarre Adventure Part 3: Stardust Crusaders, JoJo's Bizarre Adventure Part 4: Diamond is Unbreakable, JoJo's Bizarre Adventure Part 5: Golden Wind, JoJo's Bizarre Adventure Part 6: Stone Ocean, JoJo's Bizarre Adventure Part 7: Steel Ball Run, JoJo's Bizarre Adventure Part 8: Jojolion, JoJo's Bizarre Adventure: Crazy Diamond's Demonic Heartbreak","Hirohiko Araki : Original Creator, Kenichi Suzuki : Chief Director, Toshiyuki Katou : Director, Yasuko Kobayashi : Series Composition, Yuugo Kanno : Music, Masanori Shino : Character Design, Yoshikazu Iwanami : Sound Director"
Vinland Saga,Violence,"Vinland Saga, Ganso Ylva-chan","Makoto Yukimura : Original Creator, Shuuhei Yabuta : Director & Episode Director & Storyboard, Hiroshi Seko : Screenplay & Series Composition, Yutaka Yamada : Music, Takahiko Abiru : Animation Director & Character Design & Chief Animation Director, Yuuki Kawashita : Photography Director, Yuusuke Takeda : Art Director, Satoshi Hashimoto : Color Design"
Natsume's Book of Friends Season 4,,"Natsume's Book of Friends, Natsume's Book of Friends (Light Novel), Nyanko-sensei ga Iku!","Yuki Midorikawa : Original Creator, Takahiro Oomori : Director, Makoto Yoshimori : Music, Akira Takada : Character Design, Shuko Yokoyama : Producer, Tomomi Kyoutani : Producer, Reiko Sasaki : Producer, Hirofumi Sugawara : Producer"
Assassination Classroom 2nd Season,,"Assassination Classroom, Koro-sensei Q!","Yusei Matsui : Original Creator, Seiji Kishi : Director, Makoto Uezu : Screenplay & Series Composition, Naoki Satou : Music, Kazuaki Morita : Character Design, Ryuuji Hirakawa : Photography Director, Kazuto Shimoyama : Art Director, Ayumi Miyakoshi : Art Director"
Natsume's Book of Friends Season 5,,"Natsume's Book of Friends, Natsume's Book of Friends (Light Novel), Nyanko-sensei ga Iku!","Yuki Midorikawa : Original Creator, Takahiro Oomori : Chief Director, Kotomi Deai : Director, Makoto Yoshimori : Music, Akira Takada : Character Design, Sayako Muramatsu : Producer, Shuko Yokoyama : Producer, Fumi Yazaki : Producer"
My Hero Academia 3,Violence,"My Hero Academia, My Hero Academia: Smash!!, My Hero Academia: School Briefs (Light Novel), My Hero Academia: Vigilantes, My Hero Academia Movie: Two Heroes (Light Novel), My Hero Academia: Team Up Missions, Deku and Bakugo Rising, My Hero Academia Movie 2: Heroes:Rising (Light Novel), My Hero Academia Special Spin-Off: Endeavor's Mission","Kouhei Horikoshi : Original Creator, Tomo Ookubo : Chief Director, Kenji Nagasaki : Director, Yuuki Hayashi : Music, Yoshihiko Umakoshi : Character Design, Yukiko Maruyama : Art Director, Shigemi Ikeda : Art Director, Wakana Okamura : Producer"
Violet Evergarden,Violence,"Violet Evergarden (Light Novel), Violet Evergarden Gaiden (Light Novel), Violet Evergarden: Ever After (Light Novel)","Taichi Ishidate : Director, Haruka Fujita : Director, Evan Call : Music, Akiko Takase : Character Design, Mikiko Watanabe : Art Director, Shinichi Nakamura : Producer, Shigeru Saitou : Producer, Kazusa Umeda : Producer"
That Time I Got Reincarnated as a Slime,Violence,"That Time I Got Reincarnated as a Slime (Light Novel), That Time I Got Reincarnated as a Slime, That Time I Got Reincarnated as a Slime: The Ways of the Monster Nation, The Slime Diaries: That Time I Got Reincarnated as a Slime, That Time I Got Reincarnated (Again!) as a Workaholic Slime, Tenchura! Tensei Shitara Slime Datta Ken, That Time I Got Reincarnated as a Slime: Trinity in Tempest","Fuse : Original Creator, Mitz Vah : Original Character Design, Yasuhito Kikuchi : Director, Elements Garden : Music, Ryouma Ebata : Character Design"
My Hero Academia 2,"Emotional Abuse,, Mature Themes,, Physical Abuse,, Violence,, Domestic Abuse","My Hero Academia, My Hero Academia: Smash!!, My Hero Academia: School Briefs (Light Novel), My Hero Academia: Vigilantes, My Hero Academia Movie: Two Heroes (Light Novel), My Hero Academia: Team Up Missions, Deku and Bakugo Rising, My Hero Academia Movie 2: Heroes:Rising (Light Novel), My Hero Academia Special Spin-Off: Endeavor's Mission","Kouhei Horikoshi : Original Creator, Kenji Nagasaki : Director, Yuuki Hayashi : Music, Yoshihiko Umakoshi : Character Design, Yukiko Maruyama : Art Director, Shigemi Ikeda : Art Director, Kouji Nagai : Producer, Yoshihiro Ooyabu : Producer"
Wolf Children,Nudity,"Wolf Children: Ame & Yuki, Wolf Children: Ame & Yuki (Light Novel)","Mamoru Hosoda : Director & Original Creator & Screenplay & Song Lyrics, Koutarou Tamura : Assistant Director, Masakatsu Takagi : Music & Song Arrangement & Song Composition, Yoshiyuki Sadamoto : Character Design, Hiroshi Oono : Art Director, Osamu Mikasa : Color Design, Ryou Horibe : Cg Director, Takashi Watanabe : Producer"
SK8 the Infinity,"Emotional Abuse,, Mature Themes,, Physical Abuse,, Domestic Abuse","Sk8 Chill Out!, SK8 the Infinity","Hiroko Utsumi : Director & Episode Director & Original Concept & Original Creator & Storyboard, Bones : Original Creator, Ichirou Ookouchi : Screenplay & Series Composition, Ryou Takahashi : Music, Michinori Chiba : Animation Director & Character Design & Chief Animation Director, Masataka Ikegami : Photography Director, Yumiko Kondou : Art Director, Yukari Goto : Color Design"
Hajime no Ippo: The Fighting!,,Hajime no Ippo,"George Morikawa : Original Creator, Satoshi Nishimura : Director, Tsuneo Imahori : Music, Koji Sugiura : Character Design, Manabu Tamura : Producer, Toshio Nakatani : Producer, Mitsuru Ooshima : Producer, Hiroshi Yamashita : Producer"
